Reviews,Dates
Over all its a nice product and even it is just of 1200w but still it's heating is very nice,21 June 2020
Nice product,21 June 2020
Not use all material use mujhe exchange  kar na,20 June 2020
"Product is good, light and same as discribed",20 June 2020
Best product,20 June 2020
"Very bad product sent,it is a fully damage pis",19 June 2020
Excellent,18 June 2020
Excellent product.plz go for it.,18 June 2020
Pretty good. Lives up to the Prestige standard. Was expecting a better price though.,18 June 2020
Good,17 June 2020
Na,17 June 2020
"Model number: PIC 20Style: Induction CooktopVery bad experience in terms of branded electric appliance. How could a brand like Prestige would manufacture such low quality product? I used it only five times in two months and then one day it doesn't work. I then call customer care they said you are in red zone during covid 19 we can't visit and after one month I again call them. One of their engineer come and say it PCB is damage we had to repair it. When I asked him to replace the piece or PCB he only said no we can only repair it till guarantee period.What the hell! I feel it's better to buy some not so famous brand items rather checking out brands. This product sucks. My money, time everything wasted. Feeling so disappointed right now.",17 June 2020
Excellent,17 June 2020
Broken piece of Induction Cooker delivered to me very poor ....... Tell me what to do now,17 June 2020
Nice product.,17 June 2020
"Very Bad products, I have been using it for the last three months. But after 3 months of use, it has been switched off.Please don't buy this product",17 June 2020
Good  but not setisfy not touch panel,16 June 2020
Nice one,16 June 2020
Product not working,16 June 2020
As expected,15 June 2020
Superb product,15 June 2020
"Product is not so hardy, can be used for preparing 2-3 persons meal. Design is good and user friendly.",15 June 2020
"Stopped working in a month. Useless productEdit: Editing this review because I fixed it. It used to work for first 15-20 minutes but the stop heating, and a clicking sound used to come. I cleaned it properly, and voila, it is working great. Changing this to 4 stars now.",15 June 2020
Delivery before the deadline and product working as expected....well hope it will last long.,15 June 2020
Induction top toughened glass got broke within a month. Had not expected such a poor quality product by prestige. You will get even better inductions with more wattage then this from pigeon that too in lesser price.Strongly disapprove this model and brand..,15 June 2020
Product is good except one thing. There is no grip at the base.,14 June 2020
"Been using for more than 2 years, still working like a charm.No issues, easy to use and clean.",14 June 2020
"This product not working, it was a gift to my parents, due to containment zone restrictions i couldn't give them before retrun due date, worst damaged product,",14 June 2020
Good product,14 June 2020
Its a nice product to use give it a try you will be impressed.,14 June 2020
Really happy with the product and with amazon,13 June 2020
Nice product,13 June 2020
Very good product,13 June 2020
Awesome product,13 June 2020
Easy to use,12 June 2020
Its a good product in this price .,12 June 2020
Product is not worth to buy.  I purchased it on 2nd december.  Today 11th june.  It is not working.  If i am switching on my home main switch is getting trip.  Even the side plastic is craked automatically may be due to heat.Heating milk is patbetic.  Everythime milk comes out though enough empty space in pot.  Etc etc,11 June 2020
Very  nice  work,11 June 2020
It's very good productAnd we love it now I cook my food without sweat in my hot kitchen thanku prestige,11 June 2020
Received damaged product. With intact packaging. Have placed for return. Very disappointed,11 June 2020
I received defective product. It's not working,11 June 2020
Error E1,10 June 2020
Its performance was very bad,10 June 2020
Easy to Control and usedfull,9 June 2020
"I bought new one, but unable to choose options. Showing E:0 only please suggest what should I do",9 June 2020
"Awesome product ,worth buy 😋",9 June 2020
Please don't try this product. Mine got damage twice within two weeks. So I don't prefer this product.,8 June 2020
Best in the price,7 June 2020
Not good product,7 June 2020
Please aks the people who deliver the product to do so with care.Received the product like this completely broken,7 June 2020
Best product,7 June 2020
Under this price range it's a best of all 👍,7 June 2020
WORKING PROPERLY,6 June 2020
The product is not supporting any non stick cookware set,6 June 2020
Good,6 June 2020
